9191,10,33578,2
9191,21,1957,1
9191,21,34725,2
9301,10,458,1
9301,10,33226,2
938C,10,586,1
938C,10,33354,2
938L,10,1368,1
938L,10,34136,2
938P,10,888,1
938P,10,33656,2
938P,21,2030,1
938P,21,34798,2
938V,10,813,1
938V,10,33581,2
948A,10,1423,1
948A,10,34191,2
9500,10,461,1
9500,10,33229,2
9501,10,462,1
9501,10,33230,2
9501,21,463,1
9501,21,33231,2
957T,10,464,1
957T,10,33232,2
958P,10,465,1
958P,10,33233,2
9653,10,588,1
9653,10,33356,2
9717,10,817,1
9717,10,33585,2
975A,10,589,1
975A,10,33357,2
9782,10,823,1
9782,10,33591,2
9782,31,825,1
9782,31,33593,2
9784,10,827,1
9784,10,33595,2
9785,10,828,1
9785,10,33596,2
9785,51,2022,1
9785,51,34790,2
9789,10,829,1
9789,10,33597,2
978A,10,1369,1
978A,10,34137,2
978J,10,591,1
978J,10,33359,2
978L,10,466,1
978L,10,33234,2
978T,10,889,1
978T,10,33657,2
1016,10,831,1
1016,10,33599,2
1018,10,832,1
1018,10,33600,2
106A,10,516,1
106A,10,33284,2
107T,10,621,1
107T,10,33389,2
107T,31,622,1
107T,31,33390,2
1156,10,659,1
1156,10,33427,2
1156,31,2130,1
1156,31,34898,2
117Y,10,840,1
117Y,10,33608,2
118C,10,519,1
118C,10,33287,2
118C,21,520,1
118C,21,33288,2
118C,22,521,1
118C,22,33289,2
118C,24,523,1
118C,24,33291,2
118C,41,1828,1
118C,41,34596,2
118Y,10,841,1
118Y,10,33609,2
119C,10,661,1
119C,10,33429,2
119P,10,663,1
119P,10,33431,2
1206,10,842,1
1206,10,33610,2
121G,10,691,1
121G,10,33459,2
128Y,10,843,1
128Y,10,33611,2
138Y,10,844,1
138Y,10,33612,2
148L,10,531,1
148L,10,33299,2
148L,41,533,1
148L,41,33301,2
148P,10,534,1
148P,10,33302,2
1701,10,845,1
1701,10,33613,2
1701,51,1814,1
1701,51,34582,2
1702,10,846,1
1702,10,33614,2
1703,10,847,1
1703,10,33615,2
1705,10,849,1
1705,10,33617,2
1709,10,851,1
1709,10,33619,2
1709,21,1967,1
1709,21,34735,2
1720,10,863,1
1720,10,33631,2
1720,21,1937,1
1720,21,34705,2
1721,10,666,1
1721,10,33434,2
1721,21,1910,1
1721,21,34678,2
1721,51,667,1
1721,51,33435,2
1722,10,864,1
1722,10,33632,2
1726,10,1403,1
1726,10,34171,2
1726,51,2087,1
1726,51,34855,2
172J,10,856,1
172J,10,33624,2
172K,10,857,1
172K,10,33625,2
172N,10,664,1
172N,10,33432,2
172N,21,1801,1
172N,21,34569,2
172N,22,2045,1
172N,22,34813,2
172P,10,858,1
172P,10,33626,2
172R,10,859,1
172R,10,33627,2
172T,10,665,1
172T,10,33433,2
172U,10,860,1
172U,10,33628,2
172X,10,861,1
172X,10,33629,2
172Y,10,862,1
172Y,10,33630,2
1730,10,865,1
1730,10,33633,2
1732,10,671,1
1732,10,33439,2
1738,10,672,1
1738,10,33440,2
1741,10,539,1
1741,10,33307,2
1741,21,540,1
1741,21,33308,2
1742,10,542,1
1742,10,33310,2
1743,10,543,1
1743,10,33311,2
1743,51,2100,1
1743,51,34868,2
1744,10,544,1
1744,10,33312,2
1744,21,545,1
1744,21,33313,2
1744,31,2098,1
1744,31,34866,2
1745,10,546,1
1745,10,33314,2
1745,41,1829,1
1745,41,34597,2
174M,10,673,1
174M,10,33441,2
1756,10,547,1
1756,10,33315,2
1757,10,548,1
1757,10,33316,2
1758,10,552,1
1758,10,33320,2
1758,51,2101,1
1758,51,34869,2
1759,10,553,1
1759,10,33321,2
1759,21,554,1
1759,21,33322,2
1759,41,555,1
1759,41,33323,2
175P,10,675,1
175P,10,33443,2
175T,10,623,1
175T,10,33391,2
1760,10,557,1
1760,10,33325,2
1760,41,1830,1
1760,41,34598,2
1764,10,625,1
1764,10,33393,2
1764,41,1938,1
1764,41,34706,2
1765,10,1782,1
1765,10,34550,2
1766,10,627,1
1766,10,33395,2
1767,10,628,1
1767,10,33396,2
1767,51,629,1
1767,51,33397,2
1771,10,634,1
1771,10,33402,2
1771,21,2047,1
1771,21,34815,2
1772,10,635,1
1772,10,33403,2
1772,31,2048,1
1772,31,34816,2
1772,51,636,1
1772,51,33404,2
1773,10,637,1
1773,10,33405,2
1773,41,1936,1
1773,41,34704,2
1775,10,638,1
1775,10,33406,2
1778,10,1789,1
1778,10,34557,2
1778,51,1790,1
1778,51,34558,2
177H,10,630,1
177H,10,33398,2
177H,21,631,1
177H,21,33399,2
177P,10,633,1
177P,10,33401,2
177X,10,866,1
177X,10,33634,2
177Y,10,867,1
177Y,10,33635,2
1780,10,869,1
1780,10,33637,2
1782,10,643,1
1782,10,33411,2
1782,31,1930,1
1782,31,34698,2
1783,10,644,1
1783,10,33412,2
1783,21,2007,1
1783,21,34775,2
1783,22,2046,1
1783,22,34814,2
1783,41,1939,1
